"date","daily.rates","rate plan"
2018-03-18,170,"1 2 Book Radius Global Hotel Program"
2018-03-19,278,"1 2 Book Radius Global Hotel Program"
2018-03-20,323,"1 2 Book Radius Global Hotel Program"
2018-03-21,323,"1 2 Book Radius Global Hotel Program"
2018-02-02,217,"AAA Member Discount"
2018-02-03,217,"AAA Member Discount"
2018-02-05,258,"AAA Member Discount"
2018-02-07,284,"AAA Member Discount"
2018-02-08,203,"AAA Member Discount"
2018-02-08,212,"AAA Member Discount"
2018-02-21,237,"AAA Member Discount"
2018-02-25,193,"AAA Member Discount"
2018-02-26,237,"AAA Member Discount"
2018-02-27,237,"AAA Member Discount"
2018-02-28,221,"AAA Member Discount"
2018-03-01,149,"AAA Member Discount"
2018-03-23,199,"AAA Member Discount"
2018-03-24,236,"AAA Member Discount"
2018-03-25,166,"AAA Member Discount"
2018-03-30,299,"AAA Member Discount"
2018-03-31,308,"AAA Member Discount"
2018-04-01,210,"AAA Member Discount"
2018-02-19,143,"Advance Purchase"
2018-03-01,212,"Advance Purchase"
2018-03-02,220,"Advance Purchase"
2018-03-03,220,"Advance Purchase"
2018-03-30,280,"Advance Purchase"
2018-03-31,288,"Advance Purchase"
2018-04-01,203,"Advance Purchase"
2018-04-06,233,"Advance Purchase"
2018-04-07,233,"Advance Purchase"
2018-04-07,242,"Advance Purchase"
2018-04-13,246,"Advance Purchase"
2018-04-14,246,"Advance Purchase"
2018-04-15,161,"Advance Purchase"
2018-02-07,299,"Bed and Breakfast Package"
2018-02-08,219,"Bed and Breakfast Package"
2018-02-13,254,"Bed and Breakfast Package"
2018-02-14,203,"Bed and Breakfast Package"
2018-02-15,246,"Bed and Breakfast Package"
2018-02-01,179.1,"Booking.com Advance Purchase Rate Plan. Thur- Mon"
2018-02-09,260.1,"Booking.com Advance Purchase Rate Plan. Thur- Mon"
2018-02-10,269.1,"Booking.com Advance Purchase Rate Plan. Thur- Mon"
2018-01-30,159.88,"Booking.com Standalone Rate Plan"
2018-01-31,199,"Booking.com Standalone Rate Plan"
2018-02-02,229,"Booking.com Standalone Rate Plan"
2018-02-02,213.44,"Booking.com Standalone Rate Plan"
2018-02-08,186.15,"Booking.com Standalone Rate Plan"
2018-02-15,182.84,"Booking.com Standalone Rate Plan"
2018-02-16,159.88,"Booking.com Standalone Rate Plan"
2018-02-16,152.24,"Booking.com Standalone Rate Plan"
2018-02-16,159.88,"Booking.com Standalone Rate Plan"
2018-02-16,159.88,"Booking.com Standalone Rate Plan"
2018-02-17,182.84,"Booking.com Standalone Rate Plan"
2018-02-17,175.19,"Booking.com Standalone Rate Plan"
2018-02-17,182.84,"Booking.com Standalone Rate Plan"
2018-02-17,182.84,"Booking.com Standalone Rate Plan"
2018-02-17,175.19,"Booking.com Standalone Rate Plan"
2018-02-17,182.84,"Booking.com Standalone Rate Plan"
2018-02-17,182.84,"Booking.com Standalone Rate Plan"
2018-02-18,129.28,"Booking.com Standalone Rate Plan"
2018-02-18,136.94,"Booking.com Standalone Rate Plan"
